observationId,observationStartMJD_TAI,visitTime,visitExposureTime,filter,seeingFwhmGeom_arcsec,seeingFwhmEff_arcsec,fieldFiveSigmaDepth_mag,fieldRA_deg,fieldDec_deg,fieldRotSkyPos_deg
121232,60399.98292655406,34.0,30.0,r,0.6148100743903178,0.684683788796007,24.182780286886324,97.03170426815805,-39.34230524087253,306.58188775501566
121322,60400.02523787332,34.0,30.0,i,0.5983447524073924,0.6646529834639809,24.06988852323797,97.03170426815805,-39.34230524087253,283.95926313529134
121412,60400.06853304345,34.0,30.0,g,1.3236372642240797,1.5470039710755228,24.086834157452227,96.474882022484,-42.14539154358135,275.45523636597625
121502,60400.1120837437,34.0,30.0,r,0.7268278016212446,0.820958396132901,23.839563580916693,189.91089443218604,-47.44803280128351,68.73607053231675
121592,60400.1558433785,34.0,30.0,i,0.6062502977047574,0.6742704351639384,23.768230830008875,174.90262846346607,-46.51149507720053,4.75742754471247
121682,60400.20062858356,34.0,30.0,z,0.7100596774578165,0.8005592183185116,23.120111791019028,166.79834972755384,-25.312900874059753,254.38413152508008
121772,60400.24286017241,34.0,30.0,i,0.7178369261989452,0.8100205914829017,23.458427661479746,201.05907895605833,0.9384087972937967,190.80478542674356
121862,60400.284977217234,34.0,30.0,z,0.8238978727855484,0.93904850703838,22.848571481317062,215.456009394762,-14.92866559625238,200.38286370998165
121952,60400.32759323182,34.0,30.0,y,0.9630821196497357,1.1083724083330118,21.921984567672148,213.57234778571328,-17.43151460007551,237.1319860000187
122042,60400.37213137442,34.0,30.0,z,0.7431608259944358,0.8408282554676835,22.94781740512593,220.47079231234832,-40.79269820280397,285.0601726395195
153306,60434.957489277534,34.0,30.0,r,1.1128777451199086,1.2906055293429544,23.444009238869885,135.03023133951982,-12.369667996133265,125.54252252275057
153404,60435.00575670013,34.0,30.0,r,0.9228798744022786,1.0594645673993657,23.9744941765035,164.90122303363867,-3.916381472376084,100.72444050991417
153502,60435.05190404966,34.0,30.0,i,1.066249747142934,1.2338804709768052,23.36877097568332,160.18117837715758,-7.9880544530794175,143.46689702361718
153600,60435.10137401163,34.0,30.0,r,1.4670630802606006,1.7214879321905117,23.49796616207303,210.4301073417393,-48.11750129388195,349.7487652904061
153698,60435.14819527507,34.0,30.0,i,1.0057897530287434,1.1603281667016345,23.479710895425555,203.65466799353334,-44.956865715049794,291.60436000992814
153796,60435.19380232694,34.0,30.0,r,1.4295113877329237,1.675804607947596,23.48409540070164,187.3722933798892,-24.022070364663506,190.67232210776768
153894,60435.23916116577,34.0,30.0,i,1.2798510941835046,1.493736124310833,23.06441692263197,188.67241082083862,-31.087392395917615,197.3929667286966
153992,60435.28501233518,34.0,30.0,r,1.6348998052710988,1.9256688628602174,23.359651450223332,263.1204395192171,-63.17520422937225,311.8988270638876
154090,60435.33328589356,34.0,30.0,g,0.9747919264947148,1.122617915443692,24.42625669330549,276.4498277935901,-13.921264217067652,109.01629163449242
154188,60435.380519787155,34.0,30.0,r,0.7649340358000258,0.8673163452555058,24.177647054928176,303.239107028967,-12.623659910450476,86.9725860322145
154289,60435.95712158114,34.0,30.0,r,0.8338288724977493,0.9511300152040746,23.69007331301731,143.87166515134697,6.124718105309519,239.76500473490952
154388,60436.00455243872,34.0,30.0,r,0.6933227898678812,0.7801980412018019,24.254279023362884,161.42034879684562,5.230254999517035,239.26278509347836
154487,60436.0518661018,34.0,30.0,i,0.6825969411106173,0.7671495633949116,23.904015644118513,142.40053427139406,-26.827183733238364,323.8938703645537
154586,60436.09898253091,34.0,30.0,r,0.9201525349753045,1.056146636222998,23.903622114315898,190.22261535656793,14.180154448744123,247.28045245713767
154685,60436.14556086944,34.0,30.0,i,0.9126659318947463,1.0470388465872826,23.485128936821344,156.54670644807302,-37.16009911563671,332.93561668109726
154784,60436.19253055381,34.0,30.0,r,0.8561311045858997,0.9782616844110702,24.057596441168737,210.38306976479333,-12.226470975368631,279.57465247111855
